,Date,Location,Temperature (C),Min_Temperature (C),Max_Temperature (C),Wind_Speed (m/s),Wind Direction (°),Humidity (%),Pressure (hPa),Cloud (%),Today_Rain,Tomorrow_Rain
0,2023-09-13 15:00:00,London,19.960000000000036,19.960000000000036,21.49000000000001,1.45,44,56,1021,66,0,0
1,2023-09-13 18:00:00,London,19.28000000000003,19.28000000000003,19.32000000000005,2.06,97,53,1021,65,0,0
2,2023-09-13 21:00:00,London,16.77000000000004,16.77000000000004,16.77000000000004,2.9,137,64,1022,56,0,0
3,2023-09-14 00:00:00,London,15.740000000000009,15.740000000000009,15.740000000000009,2.7,181,72,1022,58,0,0
4,2023-09-14 03:00:00,London,14.990000000000009,14.990000000000009,14.990000000000009,1.9,210,78,1022,96,0,0
5,2023-09-14 06:00:00,London,14.520000000000039,14.520000000000039,14.520000000000039,1.68,226,79,1022,95,0,0
6,2023-09-14 09:00:00,London,18.110000000000014,18.110000000000014,18.110000000000014,2.3,233,60,1022,81,0,0
7,2023-09-14 12:00:00,London,22.05000000000001,22.05000000000001,22.05000000000001,1.96,227,43,1021,85,0,0
8,2023-09-14 15:00:00,London,23.53000000000003,23.53000000000003,23.53000000000003,2.51,210,42,1019,70,0,0
9,2023-09-14 18:00:00,London,20.810000000000002,20.810000000000002,20.810000000000002,3.39,204,54,1019,65,0,0
10,2023-09-14 21:00:00,London,18.260000000000048,18.260000000000048,18.260000000000048,1.47,188,65,1019,15,0,0
11,2023-09-15 00:00:00,London,16.810000000000002,16.810000000000002,16.810000000000002,1.86,143,67,1018,11,0,0
12,2023-09-15 03:00:00,London,15.870000000000005,15.870000000000005,15.870000000000005,1.49,119,70,1016,6,0,0
13,2023-09-15 06:00:00,London,15.330000000000041,15.330000000000041,15.330000000000041,2.09,126,78,1016,7,0,0
14,2023-09-15 09:00:00,London,20.160000000000025,20.160000000000025,20.160000000000025,3.16,132,55,1015,6,0,0
15,2023-09-15 12:00:00,London,24.05000000000001,24.05000000000001,24.05000000000001,3.02,149,43,1013,3,0,0
16,2023-09-15 15:00:00,London,24.629999999999995,24.629999999999995,24.629999999999995,4.21,153,40,1012,0,0,0
17,2023-09-15 18:00:00,London,21.890000000000043,21.890000000000043,21.890000000000043,2.54,127,50,1012,0,0,0
18,2023-09-15 21:00:00,London,19.410000000000025,19.410000000000025,19.410000000000025,2.42,87,63,1012,1,0,0
19,2023-09-16 00:00:00,London,18.33000000000004,18.33000000000004,18.33000000000004,1.89,78,70,1012,3,0,1
20,2023-09-16 03:00:00,London,17.77000000000004,17.77000000000004,17.77000000000004,2.18,96,68,1011,11,0,1
21,2023-09-16 06:00:00,London,17.200000000000045,17.200000000000045,17.200000000000045,2.29,84,70,1012,8,0,1
22,2023-09-16 09:00:00,London,22.629999999999995,22.629999999999995,22.629999999999995,3.7,85,53,1012,29,0,1
23,2023-09-16 12:00:00,London,25.810000000000002,25.810000000000002,25.810000000000002,4.94,94,38,1012,63,0,1
24,2023-09-16 15:00:00,London,24.700000000000045,24.700000000000045,24.700000000000045,5.07,90,42,1011,94,0,1
25,2023-09-16 18:00:00,London,21.82000000000005,21.82000000000005,21.82000000000005,4.47,77,56,1012,97,0,0
26,2023-09-16 21:00:00,London,20.03000000000003,20.03000000000003,20.03000000000003,4.37,73,64,1012,100,0,1
27,2023-09-17 00:00:00,London,19.32000000000005,19.32000000000005,19.32000000000005,4.02,73,72,1010,100,1,1
28,2023-09-17 03:00:00,London,18.28000000000003,18.28000000000003,18.28000000000003,3.63,72,91,1009,100,1,1
29,2023-09-17 06:00:00,London,18.05000000000001,18.05000000000001,18.05000000000001,3.69,87,92,1008,100,1,0
30,2023-09-17 09:00:00,London,18.930000000000007,18.930000000000007,18.930000000000007,2.05,180,88,1008,100,1,0
31,2023-09-17 12:00:00,London,20.180000000000007,20.180000000000007,20.180000000000007,1.63,134,83,1007,100,1,1
32,2023-09-17 15:00:00,London,23.100000000000023,23.100000000000023,23.100000000000023,4.01,142,67,1006,100,1,0
33,2023-09-17 18:00:00,London,21.379999999999995,21.379999999999995,21.379999999999995,3.06,123,76,1004,64,0,0
34,2023-09-17 21:00:00,London,20.260000000000048,20.260000000000048,20.260000000000048,3.34,125,81,1002,100,1,0
35,2023-09-18 00:00:00,London,18.25,18.25,18.25,3.89,207,80,1001,100,1,0
